,id,url,name,artist,album,explicit,popularity,duration_ms,key,mode,time_signature,danceability,energy,speechiness,acousticness,instrumentalness,liveness,valence,tempo,label
436,05ZVTnFGjDTnzQHMxK0Bir,https://open.spotify.com/track/05ZVTnFGjDTnzQHMxK0Bir,Please Don't Stop The Rain,James Morrison,"Songs For You, Truths For Me (International Exclusive Bundle)",False,50,234266,0,1,4,0.5,0.8190000000000001,0.0729,0.0607,0.0,0.0709,0.679,160.125,0
437,15QMLEPeA6dFzRcRMBSDyT,https://open.spotify.com/track/15QMLEPeA6dFzRcRMBSDyT,The Moon Song - Film Version,Scarlett Johansson,The Moon Song (Music from and Inspired by the Motion Picture Her),False,1,110920,0,1,4,0.626,0.0654,0.0405,0.9940000000000001,0.000662,0.106,0.7240000000000001,95.303,0
438,6qoWO4ukE09xUP5OkifECv,https://open.spotify.com/track/6qoWO4ukE09xUP5OkifECv,Landscapes (Original),Moodprint,Landscapes Remix EP,False,17,276922,2,0,4,0.252,0.493,0.0506,0.6409999999999999,8.540000000000002e-05,0.0909,0.0572,82.48700000000001,0
439,3FtJLrlkXuWuvqI45ms9Fp,https://open.spotify.com/track/3FtJLrlkXuWuvqI45ms9Fp,Leap of Faith,YellowStraps,Whirlwind Romance,False,23,291100,7,1,4,0.528,0.39799999999999996,0.0296,0.424,0.872,0.113,0.138,130.005,0
440,4OYAbqimL3F4l533Y1HmE2,https://open.spotify.com/track/4OYAbqimL3F4l533Y1HmE2,Nights Up,YellowStraps,Blame,False,31,238293,0,1,4,0.47,0.506,0.13699999999999998,0.746,0.13,0.35600000000000004,0.299,179.43400000000003,0
441,2J5qVC5iCgodbav4ZLTNSI,https://open.spotify.com/track/2J5qVC5iCgodbav4ZLTNSI,Blame,YellowStraps,Blame,False,36,295040,2,1,4,0.489,0.37,0.0424,0.506,0.0898,0.127,0.0816,107.53399999999999,0
442,5maHVorfdeqeIJHqHaZCuc,https://open.spotify.com/track/5maHVorfdeqeIJHqHaZCuc,Rose - A COLORS SHOW,YellowStraps,Rose - A COLORS SHOW,False,41,229598,4,0,4,0.6920000000000001,0.312,0.0937,0.544,0.000101,0.073,0.34600000000000003,90.036,0
443,2ioRGjGkS1KSgfwCW4h0Dy,https://open.spotify.com/track/2ioRGjGkS1KSgfwCW4h0Dy,Vagabundo não é fácil,Novos Baianos,Enciclopédia Musical Brasileira,False,32,305933,5,0,4,0.47100000000000003,0.5589999999999999,0.0604,0.568,0.0,0.106,0.802,175.08700000000002,0
444,6mGtde5UqYrIVHFdap0sbn,https://open.spotify.com/track/6mGtde5UqYrIVHFdap0sbn,Brisa,5 a Seco,Síntese,False,29,219933,6,0,3,0.445,0.433,0.0336,0.35700000000000004,3.26e-06,0.106,0.436,116.921,0
445,2Yz1XU361N8n7dPkRRSydS,https://open.spotify.com/track/2Yz1XU361N8n7dPkRRSydS,North Pole,Injury Reserve,Drive It Like It's Stolen,False,48,260611,4,0,4,0.599,0.451,0.382,0.45,0.0,0.38,0.49200000000000005,76.78399999999999,0
446,4zpql89tpykmDxjjeG9rlA,https://open.spotify.com/track/4zpql89tpykmDxjjeG9rlA,Yo,Injury Reserve,Live from the Dentist Office,True,41,185680,9,1,4,0.596,0.649,0.345,0.0126,0.0,0.18,0.475,90.625,0
447,6U8wLl0pMsgS1Lcql3nQjH,https://open.spotify.com/track/6U8wLl0pMsgS1Lcql3nQjH,Ttktv,Injury Reserve,Live from the Dentist Office,True,51,401933,6,0,4,0.63,0.449,0.252,0.8140000000000001,0.575,0.106,0.0738,158.861,0
448,2LKyVxah7M1HyYqSDaWFXE,https://open.spotify.com/track/2LKyVxah7M1HyYqSDaWFXE,Brastempp,Trombone de Frutas,"Chanti, Charango?",False,34,206213,4,1,4,0.515,0.355,0.0302,0.5529999999999999,8.609999999999999e-05,0.25,0.299,112.71600000000001,0
449,1gN9pDTha8rDiNzunN99Cd,https://open.spotify.com/track/1gN9pDTha8rDiNzunN99Cd,Maneiras e Maneiras,5 a Seco,Síntese,False,27,164640,6,0,4,0.795,0.635,0.0339,0.0083,1.4400000000000001e-05,0.11199999999999999,0.9209999999999999,119.99700000000001,0
450,6bvPoSZEoHJOALlKPF6sq1,https://open.spotify.com/track/6bvPoSZEoHJOALlKPF6sq1,Lua Cheia,5 a Seco,Síntese,False,35,218560,11,0,4,0.51,0.301,0.0343,0.426,0.0,0.111,0.638,154.178,0
451,78TAL6H02gWraLWjvP9qPx,https://open.spotify.com/track/78TAL6H02gWraLWjvP9qPx,Ventos de Netuno,5 a Seco,Síntese,False,37,166200,9,1,4,0.609,0.677,0.0411,0.159,0.000181,0.115,0.55,90.111,0
452,0hasnkYa7b4rDQqZjMmGyh,https://open.spotify.com/track/0hasnkYa7b4rDQqZjMmGyh,Em Paz,5 a Seco,Ao Vivo No Auditório Ibirapuera,False,43,224413,10,1,4,0.281,0.33,0.0324,0.836,7.099999999999999e-05,0.7290000000000001,0.156,176.889,0
453,2MJBTjDGNum1zpODeH3pum,https://open.spotify.com/track/2MJBTjDGNum1zpODeH3pum,HelGa.,Phony Ppl,Yesterday's Tomorrow,True,40,285093,2,1,4,0.653,0.526,0.0351,0.0148,0.276,0.174,0.395,85.01899999999999,0
454,2x5Frs6ts14U4MSLrQQlXg,https://open.spotify.com/track/2x5Frs6ts14U4MSLrQQlXg,Why iii Love The Moon.,Phony Ppl,Yesterday's Tomorrow,False,63,331826,1,1,4,0.706,0.483,0.0393,0.547,1.94e-06,0.136,0.6629999999999999,92.00200000000001,0
455,3vZMkLS1jP7NdNhzqGfUSW,https://open.spotify.com/track/3vZMkLS1jP7NdNhzqGfUSW,Ben - Single Version,Michael Jackson,Ben,False,58,165160,5,1,4,0.46399999999999997,0.132,0.0283,0.81,1.1599999999999999e-05,0.0994,0.303,68.152,0
456,6iyr0pAtw5qMO0rxefkp2i,https://open.spotify.com/track/6iyr0pAtw5qMO0rxefkp2i,My Girl,Michael Jackson,Ben,False,33,188760,8,1,4,0.7290000000000001,0.5870000000000001,0.0392,0.177,1.66e-05,0.115,0.8370000000000001,105.586,0
457,5FXD5Bh1yU573XSG2JZZQk,https://open.spotify.com/track/5FXD5Bh1yU573XSG2JZZQk,Kalmado,Kris Delano,Kalmado,True,52,210024,0,0,4,0.675,0.42200000000000004,0.469,0.575,7.53e-06,0.121,0.726,175.99599999999998,0
458,5sLGYJOhLP197nmkaRMMEH,https://open.spotify.com/track/5sLGYJOhLP197nmkaRMMEH,Ngayong Gabi,Al James,Ngayong Gabi,False,60,267456,2,0,4,0.865,0.628,0.14300000000000002,0.594,0.0,0.2,0.433,116.009,0
459,6utl2puTMct2t0ntNnZc68,https://open.spotify.com/track/6utl2puTMct2t0ntNnZc68,"Honey, There's No Time",Feng Suave,Feng Suave,False,55,261021,9,1,4,0.614,0.39799999999999996,0.0707,0.631,0.000758,0.115,0.563,127.973,0
